English Title,Year,Country,Rating,Number of Raters,Actors,Synopsis,Number of Episode,URL
How Are You Bread,2020,Korea,8.3,13572,"['Suho', 'Lee Se Young', 'Kang Tae Hwan', 'Han So Young', 'Moon Ji Yoon', 'Seo Jeong Yeon', 'Lee Ki Chan', 'Yoon Jin Young', 'Lee Su Ryeon']","A genius patissier, with talent far beyond his years, Han Do Woo (Suho) is a chef unparalleled in the world of pastries. The master chef of his own bakery, it’s often been said that if one is lucky enough to enjoy one of Do Woo’s pastries, one’s own wishes are sure to come true. With such rumors floating around, it doesn’t take long for Do Woo’s mysterious bakery to become the talk of the town.

As the buzz around Do Woo and his bakery grows, it’s only a matter of time before he catches the media’s eye. A writer for the hit baking show, “Top 3 Bakery Kings”, Noh Mi Rae (Lee Se Young), is determined to get Do Woo to join the cast. There’s just one problem, Do Woo wants nothing to do with her or her show.

With her job on the line, Mi Rae tries anything and everything to get Do Woo to make an appearance on her show. Infiltrating the bakery, Mi Rae’s desperation leads her down an unexpected path as her attempts to woo Do Woo slowly begin to cause her own heart to flutter. Could all this time spent with the mysterious patissier eventually lead to love?

A story full of sweets and love, “How Are You Bread” is a 2020 Viki Original romantic comedy drama directed by Kim Young Joon.",5,https://www.viki.com/tv/35472c
Switch,2018,Korea,9.5,5200,"['Jang Geun Suk', 'Yeri Han', 'Jung Woong In', 'Choi Jae Won', 'Ahn Seung Hwan', 'Cha Yup', 'Song Won Seok', 'Shin Do Hyun', 'Lee Kyu Ho']","Scam a thousand dollars, and you are a thief. If the amount becomes a billion, you are a financier. Break a small promise, you become a conman. If you betray the trust of millions of people, you are a politician. If the law cannot punish those who have wronged thousands of lives, what can we do about it? In a society without righteousness, there needs to be a drastic measure taken in order to catch the bad guys. An eye for an eye, and a conman for a conman. Oh Ha Ra, a young prosecutor, meets a man who looks exactly like her senior prosecutor, Baek Joon Soo. While looking for a double to replace Joon Soo, she meets an unordinary man named Sa Do Chan. Do Chan, a genius conman, puts his skills to use in order to catch the bad guys who know their ways around the law.",32,https://www.viki.com/tv/35780c
"Saimdang, Light's Diary",2017,Korea,9.4,6090,"['Song Seung Heon', 'Lee Young Ae', 'Lee Joo Yeon', 'Oh Yoon Ah', 'Lee Hae Young', 'Yang Se Jong', 'Hong Jin Ki', 'Ha Do Kwon', 'Jang Seo Kyung', 'Shin Soo Yeon', 'Song Min Hyung', 'Park Hye Soo', 'Park Sang Hoon', 'Show less']","Can a secret diary shed light on the authenticity of a centuries-old painting?

Seo Ji Yoon (Lee Young Ae) is an art history lecturer who has devoted the best years of her life to earning her Ph.D. and working under her mentor, department chairman Min Jung Hak (Choi Jong Hwan), in the hopes of being named a full-time professor at her university.

When Jung Hak entrusts Ji Yoon to write the thesis for his find-of-the-century historical painting, “An Gyeon’s Mount Geumgang,” Ji Yoon is ecstatic and finally feels like she is about to earn her professorship. But in a matter of days, her whole world comes crashing down around her.

First, her husband, Jung Min Seok (Lee Hae Young), suddenly becomes a fugitive when his company comes under investigation and the Russian Mafia comes after him for dirty money, forcing Ji Yoon, her son, and her mother-in-law, Kim Jung Hee (Kim Hae Sook), to be kicked out of their home. Then, Ji Yoon’s career comes to a crashing halt when grad student Han Sang Hyun (Yang Se Jong) publicly challenges the authenticity of the Mount Geumgang painting and Ji Yoon does not adequately defend Jung Hak’s reputation.

An enraged Jung Hak has Ji Yoon fired and ostracized from the art history community. At the bottom of her life, Ji Yoon discovers the secret diary of Shin Saimdang (1504-1551), a Korean artist, writer, calligraphist and poet who was the mother of Yi I, one of the two most prominent Korean Confucian scholars during the Joseon Dynasty. The diary sheds new light on the life of Saimdang (also played by Lee Young Ae, her relationship with painter Lee Gyeom (Song Seung Heon), and the Mount Geumgang painting.

With the help of Sang Hyun and her best friend, Go Hye Jung (Park Jun Myun), an antiquities researcher, can Ji Yoon get her life and career back?

“Saimdang, Light’s Diary” is a 2017 South Korean drama series directed by Yoon Sang Ho.",28,https://www.viki.com/tv/25434c
Mr. Fox and Miss Rose,2020,China,9.2,10866,"['Ren You Lun', 'Zhang Ya Qin', 'Chen Xi Jun', 'Jiang Peng', 'Jie Bing']","A modern-day explorer and adventurer, Gao Zhen He (Ren You Lun) makes his living by traveling the globe in search of the world’s rarest and most precious gems. An expert in high-end gemstones, Zhen He is a shrewd businessman who will stop at nothing to obtain the gems which will fetch the highest price. Not one to shy away from a challenge, Zhen He has faced dangers and perils too numerous to count, and has always managed to walk away unscathed. But his luck can only last for so long.

When an accident on one of his expeditions sends him tumbling over the edge of a cliff, Zhen He finds himself in a rather dire situation. Lost, alone, and injured, Zhen He is in desperate need of rescue, but with no connection to the outside world, his chances of survival are slim. Lucky for him, he has landed not far from the location of a primitive tribe, whose leader, a strong woman by the name of Xing Yue (Zhang Ya Qin), finds him and agrees to nurse him back to health. There’s just one catch: he has to agree to marry her. 

Realizing the tribe possesses one of the rarest gems in the world, Zhen He agrees to Xing Yue’s proposal, using their marriage as a means of obtaining the gems. With the prize gems in his possession, Zhen He takes off, his return to the big city promising to be a lucrative one. But Xing Yue isn’t letting him go that easily. Tracking him down, Xing Yue is determined to take back what is hers, but are the gems really what she’s after?

A fun and fantastical romantic romp, “Mr. Fox and Miss Rose” is a 2020 romantic comedy drama directed by Zhu Dong Ning.",30,https://www.viki.com/tv/37201c
The Sleuth of the Ming Dynasty,2020,China,9.5,7299,"['Darren Chen', 'Fu Meng Bo', 'Liu Yao Yuan', 'Alyssa Chia', 'Her Nan', 'Wang Mao Lei', 'Yoo Seung Jun', 'Jackie Li', 'Zhang Bai Jia', 'Mao Yi', 'Li Li Qun', 'Show less']","In 15th-century China, a quick-witted, senior-ranking government official named Tang Fan (Darren Chen) takes a break from his routine activities in order to investigate a murder, teaming up with martial arts specialist guardsman Sui Zhou (Fu Meng Bo) in a bid to solve the case.

When the peace-loving landlord of the house Tang Fan is renting is found dead, the duo investigates. It is an apparent suicide, but the investigative pair quickly realizes that something looks amiss.

They investigate and eventually succeed in finding a suspect they believe may have killed the landlord. But they soon learn that this murderer did not act alone – and is just a smaller player in a much grander scheme.

As they dig deeper into the crime, the duo soon realizes that something very sinister is afoot – including a plot to launch a bloody coup.

Can they stop the criminal mastermind before time runs out?

This drama was produced by Jackie Chan and was based on a 2015 novel written by Meng Xi Shi.

“The Sleuth of the Ming Dynasty” is a 2020 Chinese period drama directed by Guo Shuang and Yang Huan.",48,https://www.viki.com/tv/36690c
Love Better Than Immortality,2020,China,9.3,24378,"['Li Hong Yi', 'Zhao Lu Si', 'June Wu', 'Lin Jing', 'Liu Yi Tong', 'Jiang Yuan', 'Sheng Hui Zi', 'Zhang Lei']","In the year 2196 technology has advanced so much, that what was once considered extraordinary has now become ordinary. No longer troubled by the cares of daily life, nor plagued by the fear of death, humans have attained a new level of existence. But immortality comes at a cost. Trading the genuine experiences of a life well lived for those attained through virtual reality programs, humans can do the impossible. But some, like Chun Hua (Zhao Lu Si), have found that these virtual experiences just can’t satisfy their innate need to experience something real. 

Dissatisfied with her life, Chun Hua longs to experience true love. Seeking out a program that guarantees an experience like no other, Chun Hua agrees to subject herself to a most unusual adventure, giving up her immortality for a chance to experience true love. Waking up in a completely different world, Chun Hua finds herself quickly entangled in a complicated love story between the arrogant and aggressive Qiu Yue (Li Hong Yi) and the kind and gentle Xiao Bai (June Wu).

Mortal enemies, Qiu Yue and Xiao Bai are as different as night and day, yet both find themselves falling for Chun Hua. Torn between love at first sight and a love strengthened over time, Chun Hua must decide which man has truly won her heart.

Based on the novel of the same name by Shu Ke, “Love Better Than Immortality” is a fantasy adventure romance drama directed by Huang Chun.",40,https://www.viki.com/tv/37346c
Love By Chance 2,2020,Thailand,9.2,33761,"['Mean Phiravich Attachitsataporn', 'Plan Rathavit Kijworalak', 'Title Kirati Puangmalee', 'Perth Tanapon Sukumpantanasan', 'Mark Siwat Jumlongkul', 'Gun Napat Na Ranong', 'Earth Katsamonnat Namwirote', 'Vittawin Veeravidhayanant', 'Samantha Melanie Coates', 'Kris Songsamphant', 'Cherreen Nachjaree Horvejkul', 'Show less']","Growing up in a wealthy family, Tin (Mean Phiravich Attachitsataporn) had always enjoyed the privileges that inherently came with wealth. Never denied a thing, he had the world at his fingertips, yet his heart constantly reminded him that there were more important things in life than wealth and privilege. But with people using him as a means to better their own lives, he had little chance to explore the desire of his own heart. Suspicious of anyone who ever tried to get close, Tin had closed his heart off to the world, until the day he met Can (Plan Rathavit Kijworalak).

An innocent and rather impressionable young man, Can had never met anyone quite like Tin. An incorruptible soul, Can’s sweetness left an indelible impression on Tin and their friendship blossomed overnight. However, as Tin and Can drew closer, Tin began to realize his feelings for his friend were quickly becoming much stronger than those of simple friendship. Mustering the courage to tell Can how he felt, Tin admitted his feelings for his friend, but Can could not accept them.

Heartbroken, Tin must now decide where things go from here. Does he give up on the boy who stole his heart? Or does he hold onto the hope that eventually, true love will conquer all?

The highly anticipated sequel to the popular drama, “Love By Chance”, “Love By Chance 2” is a 2020 BL drama directed by New Siwaj Sawatmaneekul",13,https://www.viki.com/tv/37302c
Fated to Love You,2014,Korea,9.5,53526,"['Jang Hyuk', 'Jang Nara', 'Choi Jin Hyuk', 'Wang Ji Won', 'Choi Woo Shik', 'Song Ok Sook', 'Park Hee Bon', 'Jung Kyu Soo', 'Clara Lee', 'Kim Young Hoon', 'Park Hee Jin', 'Lee Mi Do', 'Na Young Hee', 'Park Won Sook', 'Jung Han Hun', 'Kim Yong Gun', 'Im Hyung Joon', 'Jung Eun Pyo', 'Park Jin Woo', 'Jang Gwang', 'Choi Dae Chul', 'Han Gyu', 'Yun Mi Joo', 'Yang Keum Suk', 'Jung Joon YoungCameoShow less']","Mi Young is a Post-it Girl secretary who takes orders from everyone in no short of kindness. On Mi Young's big break from her law firm, she bumps into Gun, who hopes to propose to his long-term girlfriend, Se Ra. However, he bumps into Mi Young a tad bit too hard, and they end up with a complete turnaround of plans after Mi Young mothers Gun's child. They go through rough patches in their relationship, and their lives change even after they get married.",20,https://www.viki.com/tv/23484c
Ai-Chan’s Secret,2021,Japan,8.8,7801,"['Yuna Taira', 'Kanta Sato', 'Shiori Yoshida', 'Mizusawa Rintaro', 'Yuto Tsubone', 'Yuki Beppu']","An athletic tomboy, Aiko “Ai” Kasumi (Yuna Taira) absolutely loves basketball. A member of her school’s basketball club, Ai can easily outplay everyone at school, including every member of the boys’ basketball team, with the exception of one. A star both on the court and off, Reo Amano (Kanta Sato) can not only out-play Ai on the court but has just as many adoring fans in school, making him the proverbial thorn in Ai’s side. Envious of Reo’s skill and popularity, Ai declares him her rival and is determined to outdo him, every chance she gets. But out-performing the best isn’t easy, even with skills as amazing as Ai’s.

Always feeling like she’s one step behind Reo, Ai struggles to find a way to take down her greatest rival. Lucky for her, fortune decides to smile upon her in the most unexpected way. With her brother’s maid cafe in desperate need of help, Ai agrees to start working part-timet. But her brother won’t give her the job unless she’s willing to take on a more girly look. With a wig and some makeup, Ai trades her usual tomboy look for one more suited to the role of maid cafe waitress. Sporting her new look, Ai inadvertently catches the eye of Reo, who wastes no time in asking her out. 

With plans to make Reo fall madly in love with her so that she can then dump him and leave him heartbroken, Ai sees dating Reo as the perfect way to take down her greatest rival. But could the time they spend together cause her to have a change of heart?

Based on the manga of the same name by Kaori, “Ai-Chan’s Secret” is a 2021 Japanese romantic comedy drama directed by Toru Matsuura.",10,https://www.viki.com/tv/38129c
Princess Hours,2006,Korea,9.2,33735,"['Kim Jeong Hoon', 'Yoon Eun Hye', 'Joo Ji Hoon', 'Song Ji Hyo', 'Lee Yoon Ji', 'Im Ye Jin', 'Choi Sung Joon (1983)', 'Yoon Yoo Sun', 'Kim Hye Ja', 'Shim Hye Jin', 'Lee Yeon Doo', 'Kang Nam Gil', 'Lee Yong Joo', 'Lee Eun', 'Won Mi Won', 'Jun Soo Yun', 'Lee Ho Jae', 'Kim Suk', 'Ryu Shi Hyun', 'Choi Bool Am', 'Jang Mi Hee', 'Jun Ji Ae', 'Park Chan Hwan', 'Show less']","his is an alternate history drama that is based on Park So Hui's \""Gung\"" with the reinstatement of the Korean monarchy in August 15, 1945, along with its liberation and establishes Year 1 of Gwanghwa. In 2006, \""Year 14 of Inhwa,\"" an overly normal high school girl that attends an arts high school ends up marrying the Crown Prince, who is dating Min Hyo Rin, because of a promise that the elders made decades earlier, and becomes the Crown Princess. But due to the failing health of the King, many problems occur in the aftermath. That's when Hwa Yeong, the former Crown Princess and her son, second in line to the throne, Prince Yul, return from 14 years away in England. Their ultimate aim being to take the throne. But Prince Yul ends up falling in love with the average high school girl turned Crown Princess, Shin Chae Gyeong, and one calamity after another continues to plague the Royal Family.",24,https://www.viki.com/tv/72c
